"Dyntaxa-ID";"Svenskt namn";"Habitat";"Region(er)"
"217841";"större piprensare";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"217842";"trubbig piprensare";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"217844";"mindre piprensare";"1110 Sandbankar";"Atlantisk marin region (MATL)"
"217844";"mindre piprensare";"1130 Estuarier";"Atlantisk marin region (MATL)"
"217716";"ätlig sjöborre";"1170 Rev";"Atlantisk marin region (MATL)"
"217716";"ätlig sjöborre";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"217717";"tångsjöborre";"1110 Sandbankar";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"217717";"tångsjöborre";"1130 Estuarier";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"217724";"purpursjömus";"1110 Sandbankar";"Atlantisk marin region (MATL)"
"217724";"purpursjömus";"1130 Estuarier";"Atlantisk marin region (MATL)"
"217719";"lyrsjöborre";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"217713";"dvärgsjöborre";"1110 Sandbankar";"Atlantisk marin region (MATL)"
"217713";"dvärgsjöborre";"1130 Estuarier";"Atlantisk marin region (MATL)"
"217678";"kamsjöstjärna";"1110 Sandbankar";"Atlantisk marin region (MATL)"
"217678";"kamsjöstjärna";"1130 Estuarier";"Atlantisk marin region (MATL)"
"102853";"andromedasjöstjärna";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"102863";"medusahuvud";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"102866";"sköldormstjärna";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"102852";"spenslig fjäderstjärna";"1170 Rev";"Atlantisk marin region (MATL)"
"218290";"spetsig sandmussla";"1140 Blottade ler- och sandbottnar";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"218257";"tagghjärtmussla";"1110 Sandbankar";"Atlantisk marin region (MATL)"
"218257";"tagghjärtmussla";"1130 Estuarier";"Atlantisk marin region (MATL)"
"218258";"ätlig hjärtmussla";"1150 Laguner";"Boreal region (BOR); Kontinental region (CON)"
"218258";"ätlig hjärtmussla";"1140 Blottade ler- och sandbottnar";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"218259";"skev hjärtmussla";"1130 Estuarier";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"218281";"elliptisk trågmussla";"1110 Sandbankar";"Atlantisk marin region (MATL)"
"218281";"elliptisk trågmussla";"1130 Estuarier";"Atlantisk marin region (MATL)"
"102743";"tjockskalig pepparmussla";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"218310";"glansig pepparmussla";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"106766";"östersjömussla";"1140 Blottade ler- och sandbottnar";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"218354";"finräfflad venusmussla";"1110 Sandbankar";"Atlantisk marin region (MATL)"
"101268";"flodpärlmussla";"3210 Större vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"101268";"flodpärlmussla";"3260 Mindre vattendrag";"Boreal region (BOR); Kontinental region (CON)"
"101951";"tjockskalig målarmussla";"3210 Större vattendrag";"Boreal region (BOR)"
"101951";"tjockskalig målarmussla";"3260 Mindre vattendrag";"Boreal region (BOR)"
"218383";"större hästmussla";"1170 Rev";"Atlantisk marin region (MATL)"
"106665";"blåmussla";"1610 Åsöar i Östersjön";"Boreal region (BOR)"
"106665";"blåmussla";"1160 Vikar och sund";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"106665";"blåmussla";"1170 Rev";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"106665";"blåmussla";"8330 Havsgrottor";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"218388";"europeiskt ostron";"1160 Vikar och sund";"Atlantisk marin region (MATL)"
"218388";"europeiskt ostron";"1170 Rev";"Atlantisk marin region (MATL)"
"218397";"större kammussla";"1110 Sandbankar";"Atlantisk marin region (MATL)"
"218397";"större kammussla";"1130 Estuarier";"Atlantisk marin region (MATL)"
"218045";"större bandtångsnäcka";"1160 Vikar och sund";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"106655";"bukig tusensnäcka";"1140 Blottade ler- och sandbottnar";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"102911";"förbisedd tusensnäcka";"1140 Blottade ler- och sandbottnar";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"106654";"stor tusensnäcka";"1140 Blottade ler- och sandbottnar";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"218065";"neptunussnäcka";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"218068";"purpursnäcka";"1170 Rev";"Atlantisk marin region (MATL)"
"218068";"purpursnäcka";"8330 Havsgrottor";"Atlantisk marin region (MATL)"
"218124";"ålgräsnuding";"1160 Vikar och sund";"Atlantisk marin region (MATL)"
"106612";"ängsdvärgsnäcka";"6430 Högörtängar";"Boreal region (BOR); Kontinental region (CON)"
"106613";"skogsdvärgsnäcka";"6430 Högörtängar";"Boreal region (BOR); Kontinental region (CON)"
"106679";"klippspolsnäcka";"8240 Karsthällmarker";"Boreal region (BOR); Kontinental region (CON)"
"102559";"öländsk alvarsnäcka";"8240 Karsthällmarker";"Boreal region (BOR); Kontinental region (CON)"
"101931";"gotländsk alvarsnäcka";"8240 Karsthällmarker";"Boreal region (BOR); Kontinental region (CON)"
"106729";"vitglanssnäcka";"6430 Högörtängar";"Alpin region (ALP)"
"250125";"";"8240 Karsthällmarker";"Boreal region (BOR); Kontinental region (CON)"
"106697";"slät skruvsnäcka";"6430 Högörtängar";"Alpin region (ALP)"
"106750";"ängsgrässnäcka";"6430 Högörtängar";"Boreal region (BOR); Kontinental region (CON)"
"106753";"fjällgrynsnäcka";"6430 Högörtängar";"Alpin region (ALP)"
"247517";"";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"218447";"";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"218451";"";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"218457";"";"8330 Havsgrottor";"Atlantisk marin region (MATL)"
"232750";"sudare";"1110 Sandbankar";"Baltisk marin region (MBAL)"
"232750";"sudare";"1130 Estuarier";"Baltisk marin region (MBAL)"
"232750";"sudare";"1160 Vikar och sund";"Baltisk marin region (MBAL)"
"232750";"sudare";"1170 Rev";"Baltisk marin region (MBAL)"
"232750";"sudare";"1650 Smala Östersjövikar";"Baltisk marin region (MBAL)"
"232660";"smalskägg";"1170 Rev";"Baltisk marin region (MBAL)"
"232718";"krulltrassel";"1170 Rev";"Baltisk marin region (MBAL)"
"232705";"grottsammet";"8330 Havsgrottor";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"232755";"knöltång";"1160 Vikar och sund";"Atlantisk marin region (MATL)"
"232755";"knöltång";"1170 Rev";"Atlantisk marin region (MATL)"
"233706";"smaltång";"1610 Åsöar i Östersjön";"Boreal region (BOR)"
"233706";"smaltång";"1620 Skär i Östersjön";"Boreal region (BOR); Kontinental region (CON)"
"233706";"smaltång";"1650 Smala Östersjövikar";"Baltisk marin region (MBAL)"
"232757";"sågtång";"1620 Skär i Östersjön";"Boreal region (BOR); Kontinental region (CON)"
"232757";"sågtång";"1160 Vikar och sund";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"232757";"sågtång";"1170 Rev";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"232758";"spiraltång";"1160 Vikar och sund";"Atlantisk marin region (MATL)"
"232759";"blåstång";"1150 Laguner";"Boreal region (BOR); Kontinental region (CON)"
"232759";"blåstång";"1610 Åsöar i Östersjön";"Boreal region (BOR)"
"232759";"blåstång";"1620 Skär i Östersjön";"Boreal region (BOR); Kontinental region (CON)"
"232759";"blåstång";"1160 Vikar och sund";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"232759";"blåstång";"1170 Rev";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"232759";"blåstång";"1650 Smala Östersjövikar";"Baltisk marin region (MBAL)"
"232760";"ektång";"1170 Rev";"Atlantisk marin region (MATL)"
"232752";"finger-tare";"1170 Rev";"Atlantisk marin region (MATL)"
"232753";"stor-tare";"1170 Rev";"Atlantisk marin region (MATL)"
"232754";"skräppe-tare";"1170 Rev";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"232738";"ishavstofs";"1610 Åsöar i Östersjön";"Boreal region (BOR)"
"232738";"ishavstofs";"1620 Skär i Östersjön";"Boreal region (BOR); Kontinental region (CON)"
"232738";"ishavstofs";"1160 Vikar och sund";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"232738";"ishavstofs";"1170 Rev";"Atlantisk marin region (MATL)"
"232751";"gullsudare";"1620 Skär i Östersjön";"Boreal region (BOR); Kontinental region (CON)"
"233183";"svartskinna";"1150 Laguner";"Boreal region (BOR); Kontinental region (CON)"
"6428";"rostfläck";"9190 Näringsfattig ekskog";"Boreal region (BOR); Kontinental region (CON)"
"6427";"glansfläck";"9190 Näringsfattig ekskog";"Boreal region (BOR); Kontinental region (CON)"
"101";"matt pricklav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"228970";"lodytsklotter";"8220 Silikatbranter";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"1114";"gammelekslav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"1114";"gammelekslav";"9160 Näringsrik ekskog";"Boreal region (BOR); Kontinental region (CON)"
"1119";"olivklotterlav";"9110 Näringsfattig bokskog";"Boreal region (BOR); Kontinental region (CON)"
"1118";"stiftklotterlav";"9110 Näringsfattig bokskog";"Boreal region (BOR); Kontinental region (CON)"
"1118";"stiftklotterlav";"9130 Näringsrik bokskog";"Boreal region (BOR); Kontinental region (CON)"
"1458";"grå skärelav";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"1458";"grå skärelav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"228778";"dirina";"8210 Kalkbranter";"Boreal region (BOR)"
"229462";"skuggklotterlav";"8220 Silikatbranter";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"6452";"gammelgranslav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"1460";"rosa skärelav";"9160 Näringsrik ekskog";"Boreal region (BOR); Kontinental region (CON)"
"1460";"rosa skärelav";"9190 Näringsfattig ekskog";"Boreal region (BOR); Kontinental region (CON)"
"6426";"kattfotslav";"9010 Taiga";"Boreal region (BOR)"
"6426";"kattfotslav";"9160 Näringsrik ekskog";"Boreal region (BOR); Kontinental region (CON)"
"6426";"kattfotslav";"9190 Näringsfattig ekskog";"Boreal region (BOR); Kontinental region (CON)"
"6439";"gulnål";"9110 Näringsfattig bokskog";"Boreal region (BOR); Kontinental region (CON)"
"6439";"gulnål";"9130 Näringsrik bokskog";"Boreal region (BOR); Kontinental region (CON)"
"306";"kornig nållav";"9110 Näringsfattig bokskog";"Boreal region (BOR); Kontinental region (CON)"
"306";"kornig nållav";"9130 Näringsrik bokskog";"Boreal region (BOR); Kontinental region (CON)"
"308";"brunpudrad nållav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"311";"brun nållav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"1689";"sydlig blekspik";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"1689";"sydlig blekspik";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"1689";"sydlig blekspik";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"1689";"sydlig blekspik";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"1467";"rödbrun blekspik";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"1467";"rödbrun blekspik";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"1467";"rödbrun blekspik";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"1467";"rödbrun blekspik";"9160 Näringsrik ekskog";"Boreal region (BOR); Kontinental region (CON)"
"1467";"rödbrun blekspik";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"1468";"brunskaftad blekspik";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"1468";"brunskaftad blekspik";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"1468";"brunskaftad blekspik";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"1468";"brunskaftad blekspik";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"6471";"gulvit blekspik";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"6471";"gulvit blekspik";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"6471";"gulvit blekspik";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"6471";"gulvit blekspik";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"1469";"liten blekspik";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"1469";"liten blekspik";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"1469";"liten blekspik";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"1469";"liten blekspik";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"1342";"bokvårtlav";"9110 Näringsfattig bokskog";"Boreal region (BOR); Kontinental region (CON)"
"1342";"bokvårtlav";"9130 Näringsrik bokskog";"Boreal region (BOR); Kontinental region (CON)"
"1342";"bokvårtlav";"9160 Näringsrik ekskog";"Boreal region (BOR); Kontinental region (CON)"
"1095";"mussellav";"9110 Näringsfattig bokskog";"Boreal region (BOR); Kontinental region (CON)"
"1095";"mussellav";"9130 Näringsrik bokskog";"Boreal region (BOR); Kontinental region (CON)"
"1095";"mussellav";"9160 Näringsrik ekskog";"Boreal region (BOR); Kontinental region (CON)"
"1095";"mussellav";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"1095";"mussellav";"9190 Näringsfattig ekskog";"Boreal region (BOR); Kontinental region (CON)"
"314";"vitskaftad svartspik";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"145";"klosterlav";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"1184";"stor stjärnfruktlav";"8210 Kalkbranter";"Boreal region (BOR)"
"6443";"sotlav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"6443";"sotlav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"498";"liten sotlav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"6436";"gulpudrad spiklav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"6436";"gulpudrad spiklav";"9160 Näringsrik ekskog";"Boreal region (BOR); Kontinental region (CON)"
"218";"ekspik";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"502";"ladlav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"228595";"gulvit renlav";"4060 Alpina rishedar";"Alpin region (ALP); Boreal region (BOR)"
"228595";"gulvit renlav";"9040 Fjällbjörkskog";"Alpin region (ALP)"
"228598";"blombägarlav";"8110 Silikatrasmarker";"Alpin region (ALP); Boreal region (BOR)"
"353";"dvärgbägarlav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"228654";"grå renlav";"4060 Alpina rishedar";"Alpin region (ALP); Boreal region (BOR)"
"228654";"grå renlav";"9040 Fjällbjörkskog";"Alpin region (ALP)"
"228659";"fönsterlav";"4060 Alpina rishedar";"Alpin region (ALP); Boreal region (BOR)"
"228659";"fönsterlav";"9040 Fjällbjörkskog";"Alpin region (ALP)"
"229615";"grynig kolvlav";"8110 Silikatrasmarker";"Alpin region (ALP); Boreal region (BOR)"
"229615";"grynig kolvlav";"8120 Kalkrasmarker";"Alpin region (ALP); Boreal region (BOR)"
"6446";"kolflarnlav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"924";"bokkantlav";"9110 Näringsfattig bokskog";"Boreal region (BOR); Kontinental region (CON)"
"924";"bokkantlav";"9130 Näringsrik bokskog";"Boreal region (BOR); Kontinental region (CON)"
"228071";"upprätt tagellav";"4060 Alpina rishedar";"Alpin region (ALP); Boreal region (BOR)"
"228072";"fjälltagellav";"4060 Alpina rishedar";"Alpin region (ALP); Boreal region (BOR)"
"6425";"garnlav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"6425";"garnlav";"9070 Trädklädd betesmark";"Boreal region (BOR)"
"260591";"talltagel";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"6434";"nästlav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"185";"violettgrå tagellav";"9010 Taiga";"Boreal region (BOR)"
"863";"mörk blåslav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"864";"knottrig blåslav";"9040 Fjällbjörkskog";"Alpin region (ALP)"
"864";"knottrig blåslav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"6449";"grynig blåslav";"9070 Trädklädd betesmark";"Boreal region (BOR)"
"6450";"skuggblåslav";"9010 Taiga";"Boreal region (BOR)"
"229491";"gulaktig färglav";"8110 Silikatrasmarker";"Alpin region (ALP); Boreal region (BOR)"
"229491";"gulaktig färglav";"8120 Kalkrasmarker";"Alpin region (ALP); Boreal region (BOR)"
"1639";"blomskägglav";"9160 Näringsrik ekskog";"Boreal region (BOR); Kontinental region (CON)"
"1639";"blomskägglav";"9190 Näringsfattig ekskog";"Boreal region (BOR)"
"6459";"barkkornlav";"9190 Näringsfattig ekskog";"Boreal region (BOR); Kontinental region (CON)"
"126";"grynig lundlav";"9190 Näringsfattig ekskog";"Boreal region (BOR); Kontinental region (CON)"
"6430";"slät lönnlav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"134";"rosa lundlav";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"134";"rosa lundlav";"9110 Näringsfattig bokskog";"Boreal region (BOR); Kontinental region (CON)"
"134";"rosa lundlav";"9130 Näringsrik bokskog";"Boreal region (BOR); Kontinental region (CON)"
"134";"rosa lundlav";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"6431";"lönnlav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"230550";"mjölig knopplav";"9190 Näringsfattig ekskog";"Boreal region (BOR); Kontinental region (CON)"
"374";"gul dropplav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"1026";"ädellav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"1026";"ädellav";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"1026";"ädellav";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"281";"liten ädellav";"9110 Näringsfattig bokskog";"Boreal region (BOR); Kontinental region (CON)"
"281";"liten ädellav";"9130 Näringsrik bokskog";"Boreal region (BOR); Kontinental region (CON)"
"144";"stor knopplav";"9110 Näringsfattig bokskog";"Boreal region (BOR); Kontinental region (CON)"
"229830";"späd brosklav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"1352";"småflikig brosklav";"9010 Taiga";"Boreal region (BOR)"
"6453";"vedskivlav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"229725";"blocklav";"8110 Silikatrasmarker";"Alpin region (ALP); Boreal region (BOR)"
"228704";"mångflikig gelélav";"8210 Kalkbranter";"Boreal region (BOR)"
"388";"stiftgelélav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"385";"liten aspgelélav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"6441";"slanklav";"8230 Hällmarkstorräng";"Boreal region (BOR); Kontinental region (CON)"
"6441";"slanklav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"6441";"slanklav";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"6441";"slanklav";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"389";"läderlappslav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"389";"läderlappslav";"9070 Trädklädd betesmark";"Boreal region (BOR)"
"389";"läderlappslav";"9020 Nordlig ädellövskog";"Boreal region (BOR)"
"389";"läderlappslav";"9180 Ädellövskog i branter";"Boreal region (BOR)"
"392";"aspgelélav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"228708";"rikfruktig gelélav";"8210 Kalkbranter";"Boreal region (BOR)"
"228695";"kamgelélav";"8210 Kalkbranter";"Boreal region (BOR)"
"6456";"skinnlav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"6456";"skinnlav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"6456";"skinnlav";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"959";"flikig skinnlav";"8230 Hällmarkstorräng";"Boreal region (BOR); Kontinental region (CON)"
"6455";"";"9110 Näringsfattig bokskog";"Boreal region (BOR); Kontinental region (CON)"
"6455";"";"9130 Näringsrik bokskog";"Boreal region (BOR); Kontinental region (CON)"
"6455";"";"9190 Näringsfattig ekskog";"Boreal region (BOR); Kontinental region (CON)"
"1153";"olivbrun gytterlav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"1153";"olivbrun gytterlav";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"1153";"olivbrun gytterlav";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"229497";"korallblylav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"229497";"korallblylav";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"229497";"korallblylav";"9160 Näringsrik ekskog";"Boreal region (BOR); Kontinental region (CON)"
"229497";"korallblylav";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"229497";"korallblylav";"9190 Näringsfattig ekskog";"Boreal region (BOR); Kontinental region (CON)"
"515";"blylav";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"515";"blylav";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"229748";"gytterlav";"9040 Fjällbjörkskog";"Alpin region (ALP)"
"983";"jättelav";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"6458";"lunglav";"9040 Fjällbjörkskog";"Alpin region (ALP)"
"6458";"lunglav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"6458";"lunglav";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"6458";"lunglav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"6458";"lunglav";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"6458";"lunglav";"9110 Näringsfattig bokskog";"Boreal region (BOR); Kontinental region (CON)"
"6458";"lunglav";"9130 Näringsrik bokskog";"Boreal region (BOR); Kontinental region (CON)"
"6458";"lunglav";"9160 Näringsrik ekskog";"Boreal region (BOR); Kontinental region (CON)"
"6458";"lunglav";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"6458";"lunglav";"9190 Näringsfattig ekskog";"Boreal region (BOR); Kontinental region (CON)"
"2081";"skrovellav";"8210 Kalkbranter";"Alpin region (ALP); Boreal region (BOR)"
"2081";"skrovellav";"9040 Fjällbjörkskog";"Alpin region (ALP)"
"2081";"skrovellav";"9010 Taiga";"Alpin region (ALP); Boreal region (BOR)"
"2081";"skrovellav";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"2081";"skrovellav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"2081";"skrovellav";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"2081";"skrovellav";"9160 Näringsrik ekskog";"Boreal region (BOR); Kontinental region (CON)"
"2081";"skrovellav";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"2081";"skrovellav";"9190 Näringsfattig ekskog";"Boreal region (BOR); Kontinental region (CON)"
"986";"örtlav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"986";"örtlav";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"986";"örtlav";"9110 Näringsfattig bokskog";"Boreal region (BOR); Kontinental region (CON)"
"986";"örtlav";"9130 Näringsrik bokskog";"Boreal region (BOR); Kontinental region (CON)"
"986";"örtlav";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"6461";"norrlandslav";"8110 Silikatrasmarker";"Alpin region (ALP); Boreal region (BOR)"
"6461";"norrlandslav";"8120 Kalkrasmarker";"Alpin region (ALP); Boreal region (BOR)"
"6461";"norrlandslav";"9010 Taiga";"Boreal region (BOR)"
"6462";"stuplav";"9010 Taiga";"Boreal region (BOR)"
"1083";"västlig njurlav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"1083";"västlig njurlav";"9010 Taiga";"Boreal region (BOR)"
"1083";"västlig njurlav";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"1083";"västlig njurlav";"9110 Näringsfattig bokskog";"Boreal region (BOR); Kontinental region (CON)"
"1083";"västlig njurlav";"9160 Näringsrik ekskog";"Boreal region (BOR); Kontinental region (CON)"
"1083";"västlig njurlav";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"1083";"västlig njurlav";"9190 Näringsfattig ekskog";"Boreal region (BOR); Kontinental region (CON)"
"6463";"bårdlav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"6463";"bårdlav";"9010 Taiga";"Boreal region (BOR)"
"6463";"bårdlav";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"6463";"bårdlav";"9110 Näringsfattig bokskog";"Boreal region (BOR); Kontinental region (CON)"
"6463";"bårdlav";"9160 Näringsrik ekskog";"Boreal region (BOR); Kontinental region (CON)"
"6463";"bårdlav";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"6463";"bårdlav";"9190 Näringsfattig ekskog";"Boreal region (BOR); Kontinental region (CON)"
"6464";"luddlav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"6464";"luddlav";"9010 Taiga";"Boreal region (BOR)"
"6464";"luddlav";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"6464";"luddlav";"9110 Näringsfattig bokskog";"Boreal region (BOR); Kontinental region (CON)"
"6464";"luddlav";"9180 Ädellövskog i branter";"Boreal region (BOR); Kontinental region (CON)"
"6464";"luddlav";"9190 Näringsfattig ekskog";"Boreal region (BOR); Kontinental region (CON)"
"229503";"filtlav";"8110 Silikatrasmarker";"Alpin region (ALP); Boreal region (BOR)"
"229504";"grynig filtlav";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"229504";"grynig filtlav";"9010 Taiga";"Boreal region (BOR)"
"229504";"grynig filtlav";"9020 Nordlig ädellövskog";"Boreal region (BOR); Kontinental region (CON)"
"229504";"grynig filtlav";"9110 Näringsfattig bokskog";"Boreal region (BOR); Kontinental region (CON)"
